,Keyword,Start,End
218,GYMNASTICS,9473,9496
219,GUINEA-BISSAU,9496,9545
220,GUAM,9545,9581
221,GREGORIAN_CALENDAR,9581,9604
222,GREEN,9604,9631
223,GREEKS,9631,9675
224,GREECE,9675,9769
225,GREAT_POWER,9769,9790
226,GRAMOPHONE_RECORD,9790,9875
227,GOTHIC_ARCHITECTURE,9875,9915
228,GLASS,9915,9941
229,GLACIER,9941,9964
230,GERMANS,9964,9996
231,GEORGIAN_ARCHITECTURE,9996,10017
232,GEORGE_VI,10017,10040
233,GEOLOGICAL_HISTORY_OF_EARTH,10040,10065
234,GEOGRAPHY_OF_THE_UNITED_STATES,10065,10086
235,GENOME,10086,10111
236,GENOCIDE,10111,10137
237,GENERAL_ELECTRIC,10137,10153
238,GENE,10153,10209
239,GAMAL_ABDEL_NASSER,10209,10303
240,GALICIA_(SPAIN),10303,10351
241,FRIEDRICH_HAYEK,10351,10401
242,FRÉDÉRIC_CHOPIN,10401,10482
243,FRANCO-PRUSSIAN_WAR,10482,10540
244,FLOWERING_PLANT,10540,10564
245,FLORIDA,10564,10599
246,FINANCIAL_CRISIS_OF_2007%E2%80%9308,10599,10678
247,FILM_SPEED,10678,10704
248,FEDERALISM,10704,10742
249,FEDERAL_AVIATION_ADMINISTRATION,10742,10754
250,FC_BARCELONA,10754,10804
251,FA_CUP,10804,10836
252,EXHIBITION_GAME,10836,10857
253,ETON_COLLEGE,10857,10900
254,ESTONIAN_LANGUAGE,10900,10933
255,ESTONIA,10933,11004
256,ERITREA,11004,11044
257,ENGLAND_NATIONAL_FOOTBALL_TEAM,11044,11056
258,ENERGY,11056,11089
259,EMPIRICISM,11089,11114
260,EMOTION,11114,11158
261,ELEVATOR,11158,11209
262,EDUCATION,11209,11244
263,EDMUND_BURKE,11244,11284
264,ECONOMY_OF_GREECE,11284,11313
265,EAST_PRUSSIA,11313,11340
266,EAST_INDIA_COMPANY,11340,11371
267,DWIGHT_D._EISENHOWER,11371,11461
268,DUTCH_REPUBLIC,11461,11482
269,DUTCH_LANGUAGE,11482,11533
270,DOMINICAN_ORDER,11533,11577
271,DOG,11577,11651
272,DISSOLUTION_OF_THE_SOVIET_UNION,11651,11718
273,DIGIMON,11718,11739
274,DIGESTION,11739,11757
275,DIARRHEA,11757,11778
276,DETROIT,11778,11856
277,DELL,11856,11901
278,DAYLIGHT_SAVING_TIME,11901,11964
279,DATABASE,11964,11996
280,DATA_COMPRESSION,11996,12022
281,CZECH_LANGUAGE,12022,12050
282,CYPRUS,12050,12108
283,CULTURE,12108,12132
284,CUBISM,12132,12171
285,CRUCIFIXION_OF_JESUS,12171,12203
286,CRIMEAN_WAR,12203,12264
287,COTTON,12264,12294
288,CORK_(CITY),12294,12324
289,COPYRIGHT_INFRINGEMENT,12324,12363
290,COPPER,12363,12394
291,COMPUTER_SECURITY,12394,12419
292,COMPUTER,12419,12489
293,COMPREHENSIVE_SCHOOL,12489,12514
294,COMPACT_DISC,12514,12539
295,COMMUNICATIONS_IN_SOMALIA,12539,12564
296,COMMUNICATION,12564,12576
297,COMICS,12576,12613
298,CLASSICAL_MUSIC,12613,12681
299,CIRCADIAN_RHYTHM,12681,12703
300,CHRISTIAN,12703,12730
301,CHILD_LABOUR,12730,12790
302,CHIHUAHUA_(STATE),12790,12855
303,CHICAGO_CUBS,12855,12918
304,"CHARLESTON,_SOUTH_CAROLINA",12918,12966
305,CENTRAL_AFRICAN_REPUBLIC,12966,12989
306,CBC_TELEVISION,12989,13014
307,CARNIVAL,13014,13066
308,CANON_LAW,13066,13088
309,CANADIAN_FOOTBALL,13088,13109
310,BUDDHISM,13109,13253
311,BUCKINGHAM_PALACE,13253,13281
312,BRITISH_ISLES,13281,13315
313,BRITISH_EMPIRE,13315,13375
314,BRIGHAM_YOUNG_UNIVERSITY,13375,13412
315,BRAS%C3%ADLIA,13412,13435
316,BRAIN,13435,13494
317,BOTANY,13494,13545
318,BOSTON,13545,13624
319,BLACK_PEOPLE,13624,13685
320,BIRD_MIGRATION,13685,13741
321,BIRD,13741,13801
322,BILL_%26_MELINDA_GATES_FOUNDATION,13801,13822
323,BEYONCÉ,13822,13888
324,BERN,13888,13936
325,BEIDOU_NAVIGATION_SATELLITE_SYSTEM,13936,13970
326,BEER,13970,14004
327,BBC_TELEVISION,14004,14035
328,BAPTISTS,14035,14058
329,BACTERIA,14058,14108
330,AVICENNA,14108,14143
331,"ATLANTIC_CITY,_NEW_JERSEY",14143,14190
332,ASTHMA,14190,14215
333,ASSOCIATION_FOOTBALL,14215,14243
334,ASPIRATED_CONSONANT,14243,14277
335,ASPHALT,14277,14313
336,ASHKENAZI_JEWS,14313,14362
337,ASCII,14362,14388
338,ARSENAL_F.C.,14388,14422
339,ARNOLD_SCHWARZENEGGER,14422,14500
340,ARMENIANS,14500,14525
341,ARENA_FOOTBALL_LEAGUE,14525,14580
342,ARCHITECTURE,14580,14618
343,APOLLO,14618,14669
344,ANTIBIOTICS,14669,14695
345,ANTHROPOLOGY,14695,14740
346,ANTARCTICA,14740,14784
347,ANNELID,14784,14819
348,"ANN_ARBOR,_MICHIGAN",14819,14854
349,ANIMAL,14854,14871
350,AMERICAN_IDOL,14871,14996
351,ALSACE,14996,15023
352,ALPS,15023,15110
353,ALFRED_NORTH_WHITEHEAD,15110,15157
354,ALEXANDER_GRAHAM_BELL,15157,15230
355,ALASKA,15230,15278
356,AIRPORT,15278,15303
357,AIRCRAFT_CARRIER,15303,15337
358,AFFIRMATIVE_ACTION_IN_THE_UNITED_STATES,15337,15385
359,ADOLESCENCE,15385,15460
360,A_CAPPELLA,15460,15483
361,2008_SUMMER_OLYMPICS_TORCH_RELAY,15483,15556
362,1_MISCELLANEOUS,15556,15560
